train_time,accuracy
35.39995098114014,42.59
33.44848132133484,45.44
30.809747219085693,46.85
33.31049394607544,52.12
31.397194147109985,52.74
34.132407426834106,56.42
32.11088418960571,54.96
32.82448172569275,56.57
31.49906086921692,59.5
34.04508113861084,62.26
35.07045078277588,61.1
33.843610525131226,61.79
35.4872031211853,64.41
34.43560814857483,62.88
32.10274147987366,62.93
33.41616940498352,64.83
35.26032376289368,63.93
32.42730951309204,64.85
32.52298879623413,65.88
33.15672278404236,66.14
34.90182948112488,64.48
32.96020436286926,66.9
38.57503032684326,65.73
37.98216891288757,68.07
34.67093753814697,65.96
31.444581747055054,67.93
34.54670310020447,66.77
32.94891810417175,67.81
33.319177865982056,67.48
32.81815695762634,68.52
34.24522566795349,68.06
36.249802589416504,68.09
36.51178169250488,69.04
33.33682155609131,67.84
32.04006743431091,68.81
32.12372541427612,69.96
36.13259148597717,68.04
32.522104024887085,69.25
32.254486322402954,70.05
30.627903699874878,69.34
32.96182298660278,69.08
33.4098699092865,69.91
36.48451018333435,69.66
37.11662006378174,69.95
37.084046840667725,69.89
37.233694076538086,70.5
35.04452300071716,69.41
35.120375633239746,69.19
35.10576009750366,70.14
37.2388870716095,70.28
35.88992190361023,71.9
38.37830185890198,72.14
39.69604706764221,72.09
42.808440923690796,72.07
41.283087730407715,72.22
37.117732763290405,72.25
33.75669002532959,71.93
31.741830825805664,72.25
31.035322666168213,72.31
31.37817120552063,71.97
29.920290231704712,71.76
32.17687487602234,72.05
32.16715669631958,72.23
33.31319069862366,72.11
37.68943119049072,71.6
32.8671669960022,72.18
31.291898727416992,72.03
32.63895106315613,71.82
36.21474552154541,71.68
36.76552391052246,72.22
38.75433158874512,71.65
39.23170065879822,72.11
38.76916480064392,71.96
35.5705680847168,72.24
36.48416876792908,72.31
39.833571434020996,72.14
40.30214834213257,72.13
42.6279718875885,71.95
34.33717107772827,72.13
32.05303239822388,72.27
35.16009569168091,72.27
34.18102478981018,72.25
33.04369330406189,72.31
35.849318981170654,72.21
39.066195249557495,72.26
35.63610792160034,72.09
34.927894115448,72.18
39.74110460281372,71.67
34.25089621543884,71.89
34.392362117767334,72.13
