train_time,accuracy
180.2674560546875,41.28
178.9031388759613,43.02
179.86620497703552,45.72
179.9212131500244,46.05
178.96003699302673,48.52
179.71820974349976,52.42
179.1697473526001,52.78
180.40357089042664,55.5
178.58330655097961,53.29
181.22394466400146,55.85
179.7389371395111,57.06
178.43506336212158,57.99
180.66832447052002,60.82
179.13498163223267,56.14
179.39210104942322,54.43
180.12978434562683,60.67
180.0051612854004,54.91
179.18095064163208,60.88
179.07384276390076,60.31
179.54749655723572,57.82
179.38082551956177,59.97
179.64134049415588,63.82
178.27461433410645,65.44
179.37961649894714,63.71
180.0992352962494,63.14
